Name,Cluster ID,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
Botia_lohachata_C_10,1,3,7249,2416.333333333,23.677162268,453.491719564,122.480074565,26.647181511,113.493561109,0.142895818,0.506024132,178.195576986,61.0,38.666666667,114.276147842,51.433467229
Botia_lohachata_C_11,1,4,7104,1776.0,29.776175706,348.143924713,112.432412148,18.864744782,88.268058181,0.162180673,0.5479623,151.849172592,95.0,46.75,89.765710115,36.801244736
Botia_lohachata_C_12,1,2,15271,7635.5,58.915895062,889.424928665,148.534425259,39.470685482,4.856191993,0.517702729,0.759085655,173.66595459,117.0,18.5,164.513793945,45.5
Botia_lohachata_C_12,2,3,17474,5824.666666667,67.415123457,699.733388265,149.292538961,37.450256348,119.53764677,0.106503266,0.463075995,212.761805216,49.333333333,39.333333333,111.986577829,57.063556671
Botia_lohachata_C_13,1,4,11757,2939.25,29.771340305,450.811195374,156.947555542,23.741798162,89.114893734,0.170496637,0.649834946,197.271800995,93.5,63.75,91.176380634,45.687917233
Botia_lohachata_C_14,1,1,7401,7401.0,72.268333171,1287.879272461,197.151138306,47.797065735,178.805465698,0.056072503,0.722683311,214.667190552,0.0,0.0,166.805328369,49.0
Botia_lohachata_C_14,2,1,8426,8426.0,82.277121375,624.994934082,219.360824585,48.907169342,179.195556641,0.271068037,0.822771192,214.667190552,0.0,0.0,166.805328369,49.0
Botia_lohachata_C_14,3,1,7070,7070.0,69.036226931,696.107666016,195.741653442,45.988185883,1.916336298,0.183348119,0.690362275,214.667190552,0.0,0.0,166.805328369,49.0
Botia_lohachata_C_4,1,10,14877,1487.7,55.212469846,268.463582039,50.435712528,24.66025033,76.373053122,0.505592754,0.708216229,73.528632164,146.2,48.9,75.660901451,35.916465569
Botia_lohachata_C_4,2,1,19754,19754.0,73.312302839,801.656860352,310.260406494,81.066017151,0.466980636,0.386267245,0.733123004,328.198120117,0.0,0.0,164.989868164,85.0
Botia_lohachata_C_4,3,1,26498,26498.0,98.341065133,922.325927734,352.560302734,95.695121765,179.545333862,0.39143005,0.983410656,328.198120117,0.0,0.0,164.989868164,85.0
Botia_lohachata_C_5,1,3,4577,1525.666666667,28.37921627,382.487665812,68.786427816,24.899231752,60.093284766,0.14245485,0.472400645,125.806983948,111.333333333,21.0,109.746987343,39.079481761
Botia_lohachata_C_5,2,1,15857,15857.0,98.31969246,635.656860352,286.391235352,70.497123718,179.556640625,0.493157238,0.983196914,263.638000488,0.0,0.0,166.174591064,63.0
Botia_lohachata_C_5,3,1,15904,15904.0,98.611111111,685.941101074,285.432800293,70.943496704,179.612350464,0.424758971,0.986111104,263.638000488,0.0,0.0,166.174591064,63.0
Botia_lohachata_C_6,1,7,10044,1434.857142857,41.85,243.074130467,36.373586791,28.289125238,84.118876866,0.623709163,0.747614171,62.638394083,135.285714286,36.714285714,87.689845221,31.920339721
Botia_lohachata_C_6,2,1,21276,21276.0,88.65,1077.019287109,313.850158691,86.313308716,179.520629883,0.230490401,0.886500001,310.48348999,0.0,0.0,165.068588257,80.0
Botia_lohachata_C_6,3,1,23672,23672.0,98.633333333,836.911682129,333.486816406,90.378761292,179.795196533,0.424703211,0.986333311,310.48348999,0.0,0.0,165.068588257,80.0
Botia_lohachata_C_7,1,4,6610,1652.5,23.163723017,372.290367126,117.512475967,16.933582425,86.175034285,0.158198031,0.526813813,167.236297607,67.25,46.25,83.945482552,32.61464119
Botia_lohachata_C_8,1,2,20356,10178.0,78.78013855,813.199562073,196.50705719,42.676511049,2.682848126,0.146006208,0.758913726,203.606384277,121.0,81.0,11.915149689,47.0
Botia_lohachata_C_8,2,9,16677,1853.0,64.541971439,121.891037835,43.439327982,15.600390434,72.915796187,0.796695087,0.876651439,49.471679899,137.333333333,33.0,90.865385691,16.829392963
Botia_lohachata_C_8,3,1,22109,22109.0,85.564456829,797.656860352,330.069915771,85.285125732,179.937149048,0.436663359,0.855644584,329.123077393,0.0,0.0,165.752639771,81.0
Botia_lohachata_C_8,4,1,25570,25570.0,98.958938039,865.012207031,355.638977051,91.544342041,179.904220581,0.429433703,0.989589393,329.123077393,0.0,0.0,165.752639771,81.0
Botia_lohachata_P_1,1,4,16990,4247.5,73.062698891,248.512195587,84.766263962,23.987553477,63.184833765,0.692705907,0.852728933,89.118958712,94.25,9.5,100.988699913,25.997541904
Botia_lohachata_P_1,2,1,19533,19533.0,83.998451879,755.656860352,312.437347412,79.600563049,0.007157953,0.429862499,0.839984536,311.661682129,0.0,0.0,165.696228027,77.0
Botia_lohachata_P_1,3,2,18104,9052.0,77.853272555,427.213216782,153.797905445,42.409045219,155.807807922,0.592941642,0.836144626,162.233965397,134.5,18.5,153.518211365,42.660251617
Botia_lohachata_P_1,4,1,21134,21134.0,90.883288897,803.254821777,322.485748291,83.441345215,179.286605835,0.411608994,0.908832908,311.661682129,0.0,0.0,165.696228027,77.0
Botia_lohachata_P_10,1,11,16089,1462.636363636,44.707811154,249.173248985,85.465939955,17.232371417,94.474003098,0.446875893,0.722185967,104.676896269,148.545454545,51.818181818,93.296185667,27.931717006
Botia_lohachata_P_10,2,1,29929,29929.0,83.16614333,933.656860352,384.138153076,99.20072937,0.489223689,0.431447029,0.831661463,383.470977783,0.0,0.0,165.347702026,97.0
Botia_lohachata_P_11,1,3,16182,5394.0,51.965317919,676.4809316,112.905036926,33.112028758,59.193823953,0.281593349,0.633836617,146.610831579,92.0,29.333333333,167.648462931,41.482630094
Botia_lohachata_P_11,2,5,24495,4899.0,78.66088632,407.840018082,129.467103195,23.026655388,129.677718353,0.486810289,0.818599498,142.951786613,178.4,59.4,126.199833679,27.982701111
Botia_lohachata_P_12,1,9,18543,2060.333333333,46.597477007,268.651005003,70.535033438,20.876695156,106.139450921,0.51291262,0.714507489,89.074397299,156.0,52.0,98.976720386,30.337817828
Botia_lohachata_P_12,2,1,35486,35486.0,89.174247374,1000.384765625,419.647613525,107.666946411,179.639144897,0.445587248,0.891742468,406.739471436,0.0,0.0,165.62210083,101.0
Botia_lohachata_P_12,3,1,35089,35089.0,88.176609539,987.656860352,413.950775146,107.927574158,179.854156494,0.452031493,0.881766081,406.739471436,0.0,0.0,165.62210083,101.0
Botia_lohachata_P_13,1,1,16522,16522.0,88.703962203,735.840637207,295.378662109,71.218635559,0.180324137,0.383446664,0.887039602,285.959777832,0.0,0.0,166.449707031,67.0
Botia_lohachata_P_13,2,8,6719,839.875,36.073230967,193.85102582,60.295316339,14.986638874,104.352617025,0.433934853,0.707845137,76.352630734,90.25,31.375,102.163168788,21.253128767
Botia_lohachata_P_14,1,1,11477,11477.0,73.45750128,1034.274169922,237.539138794,61.518157959,179.799682617,0.134823903,0.734575033,255.876922607,0.0,0.0,165.746520996,63.0
Botia_lohachata_P_14,2,1,13122,13122.0,83.986175115,619.656860352,255.93649292,65.279670715,0.041912332,0.42944482,0.839861751,255.876922607,0.0,0.0,165.746520996,63.0
Botia_lohachata_P_14,3,3,11587,3862.333333333,74.161546339,488.297145208,89.92994833,25.633367697,38.059629083,0.564280008,0.858548423,94.139911334,109.0,60.333333333,38.839417458,27.552284718
Botia_lohachata_P_14,4,1,15476,15476.0,99.052739375,651.941101074,277.396392822,71.034286499,179.747009277,0.457563967,0.990527391,255.876922607,0.0,0.0,165.746520996,63.0
Botia_lohachata_P_15,1,6,12890,2148.333333333,68.429155386,303.782933235,59.8475221,23.453264395,81.159962416,0.549626722,0.791384916,70.355582555,107.0,27.833333333,74.718963146,27.000248591
Botia_lohachata_P_15,2,1,16555,16555.0,87.885544407,681.656860352,286.525390625,73.565841675,179.662475586,0.447720975,0.878855467,281.58480835,0.0,0.0,165.815704346,69.0
Botia_lohachata_P_15,3,3,13566,4522.0,72.017837235,491.312716166,149.885421435,24.091644128,55.90645497,0.390609765,0.686314235,174.283335368,95.333333333,62.666666667,58.108855089,29.666666667
Botia_lohachata_P_15,4,1,18726,18726.0,99.410734193,712.041625977,306.322357178,77.835266113,179.843826294,0.464134783,0.994107366,281.58480835,0.0,0.0,165.815704346,69.0
Botia_lohachata_P_2,1,2,5571,2785.5,32.510504202,597.045196533,112.299095154,28.909617424,167.929283142,0.115216576,0.385571286,197.081840515,62.5,0.0,163.708259583,53.253559113
Botia_lohachata_P_2,2,1,16971,16971.0,99.037114846,686.76953125,281.696990967,76.707061768,179.755493164,0.452163219,0.990371168,261.013397217,0.0,0.0,164.898895264,68.0
Botia_lohachata_P_3,1,2,10486,5243.0,69.315177155,545.793932915,121.940642357,32.53925848,141.310661316,0.513630826,0.791696817,133.396807671,79.5,11.0,135.718257904,35.0
Botia_lohachata_P_3,2,5,9078,1815.6,60.007932311,301.216071701,57.100865364,17.918049622,157.15743103,0.67232917,0.823761761,66.091239548,128.8,26.4,153.097149658,20.545561409
Botia_lohachata_P_3,3,1,14953,14953.0,98.843204654,644.526916504,276.260070801,68.916038513,179.840164185,0.452330709,0.98843205,255.391860962,0.0,0.0,166.181396484,61.0
Botia_lohachata_P_4,1,7,11511,1644.428571429,43.459055386,306.075875419,90.476879665,22.351465089,77.877894606,0.272116171,0.655289607,118.694170271,115.857142857,39.714285714,100.717899663,33.261122567
Botia_lohachata_P_4,2,1,22713,22713.0,85.751500736,813.656860352,333.791656494,86.638145447,179.930358887,0.431123585,0.857515037,336.882781982,0.0,0.0,166.087509155,81.0
Botia_lohachata_P_4,3,1,26301,26301.0,99.297768717,813.656860352,366.396484375,91.396820068,0.033174999,0.499228716,0.992977679,336.882781982,0.0,0.0,166.087509155,81.0
Botia_lohachata_P_6,1,2,22433,11216.5,76.149903255,770.726446152,169.621038914,47.163331747,20.381488487,0.537106037,0.831566036,176.786561966,37.0,21.5,99.320100784,48.742640495
Botia_lohachata_P_6,2,6,20353,3392.166666667,69.089242676,368.156717936,112.267786662,19.449345827,135.120578527,0.495677752,0.851103862,119.22252655,157.166666667,58.666666667,131.631689231,23.711952845
Botia_lohachata_P_6,3,3,23992,7997.333333333,81.442004141,311.294086456,122.445491155,35.922915459,69.678644965,0.577507238,0.812673469,127.523129781,141.0,37.0,114.721769333,36.103053729
Botia_lohachata_P_7,1,11,16848,1531.636363636,60.972785177,241.367069418,48.223897587,18.205284292,89.606418988,0.53903287,0.769184849,60.239275586,136.454545455,54.090909091,92.258845069,23.35743631
Botia_lohachata_P_7,2,1,18917,18917.0,68.460480602,801.656860352,305.691223145,78.791503906,0.105145581,0.369900674,0.684604824,326.098144531,0.0,0.0,164.344223022,88.0
Botia_lohachata_P_7,3,1,27342,27342.0,98.950492183,847.840637207,350.915344238,99.206016541,179.681777954,0.477982163,0.989504933,326.098144531,0.0,0.0,164.344223022,88.0
Botia_lohachata_P_8,1,10,16747,1674.7,63.616334283,289.886115074,43.49931097,25.604747343,112.316067731,0.622894564,0.773568642,69.266633034,122.0,37.5,108.299175549,31.185698318
Botia_lohachata_P_8,2,1,20067,20067.0,76.227920228,809.656860352,321.105041504,79.569290161,0.730797052,0.384671777,0.762279212,334.941772461,0.0,0.0,166.005249023,81.0
Botia_lohachata_P_8,3,1,23374,23374.0,88.790123457,809.656860352,341.95614624,87.030754089,178.880813599,0.448064893,0.887901247,334.941772461,0.0,0.0,166.005249023,81.0
Botia_lohachata_P_8,4,1,25977,25977.0,98.678062678,883.35534668,362.381103516,91.271156311,179.647384644,0.418338656,0.986780643,334.941772461,0.0,0.0,166.005249023,81.0
Botia_lohachata_P_9,1,8,9800,1225.0,48.157248157,193.689863324,37.66682148,23.086104229,107.88423562,0.427068751,0.680003531,62.484861434,102.875,25.875,107.404037952,28.488460958
Botia_lohachata_P_9,2,5,16108,3221.6,79.154791155,185.718588257,66.682880592,25.000660515,99.458375549,0.74306314,0.875102425,73.538018799,92.2,35.2,94.228312683,25.612571526
Botia_lohachata_P_9,3,1,20032,20032.0,98.437346437,745.254821777,305.629455566,83.452476501,179.611206055,0.453236192,0.98437345,284.78237915,0.0,0.0,164.938980103,74.0
Yasuhikotakia_modesta_C_10,1,3,5562,1854.0,26.718547341,373.525232951,81.844210307,29.057620049,107.396868706,0.16787717,0.502872656,126.768768311,43.0,33.666666667,112.458635966,49.206828435
Yasuhikotakia_modesta_C_6,1,4,5319,1329.75,23.960538763,296.047725677,83.979471207,17.390086293,89.951816916,0.258499955,0.627290133,130.725337982,98.5,42.75,92.489878654,30.315732956
Yasuhikotakia_modesta_C_7,1,4,6006,1501.5,26.313253012,268.972351074,82.712685585,21.041652918,84.173644781,0.214127965,0.615286902,113.073455811,77.75,44.5,82.462538004,36.959899902
Yasuhikotakia_modesta_C_8,1,3,6615,2205.0,27.869059656,434.629801432,120.625811259,25.521424294,111.725345135,0.16463206,0.485526294,184.343454997,44.0,33.333333333,113.909905116,50.769307454
Yasuhikotakia_modesta_C_9,1,1,15164,15164.0,66.760588183,1264.759399414,258.477050781,74.696777344,1.309518576,0.119126335,0.667605877,288.882324219,0.0,0.0,163.509719849,82.0
Yasuhikotakia_modesta_C_9,2,5,13528,2705.6,59.557981861,284.533215332,93.194885635,19.691199684,127.502317715,0.316016826,0.651882046,104.554577637,120.0,46.2,125.608889961,30.623226166
Yasuhikotakia_modesta_P_11,1,2,9926,4963.0,49.285004965,630.258392334,124.056144714,47.158571243,165.027854919,0.16765555,0.50588657,214.112297058,63.5,0.0,159.388198853,67.657081604
Yasuhikotakia_modesta_P_11,2,2,15497,7748.5,76.946375372,542.053817749,169.275625229,41.168575764,173.616744995,0.26780016,0.772719622,172.955501556,0.0,26.0,162.007202148,49.606814384
Yasuhikotakia_modesta_P_12,1,4,5626,1406.5,27.425173053,307.083263397,98.532200813,18.370705605,88.304569602,0.165854514,0.546744339,133.284957886,78.75,50.25,91.589829683,34.063199043
Yasuhikotakia_modesta_P_13,1,4,6479,1619.75,26.83927092,324.618793488,92.032696247,19.794727802,92.369751692,0.269833164,0.599158823,139.741474628,102.75,48.0,95.304846287,37.6954813
Yasuhikotakia_modesta_P_14,1,4,5032,1258.0,27.03196347,303.340614319,91.509752274,16.596053123,88.203811824,0.153534757,0.520742938,131.403930664,68.0,45.25,91.132678509,32.703800201
Yasuhikotakia_modesta_P_15,1,4,6201,1550.25,29.698275862,280.022609711,85.959765196,19.335576177,90.981808543,0.287385881,0.661216632,118.057506561,90.5,37.25,91.229412317,36.373731613
Yasuhikotakia_modesta_P_16,1,2,14306,7153.0,53.725401833,805.525421143,163.825946808,52.463747025,167.474380493,0.170738988,0.573006719,256.632293701,72.5,0.0,161.649894714,74.242996216
Yasuhikotakia_modesta_P_16,2,5,19227,3845.4,72.205948626,289.259706879,85.170049477,22.977276993,106.582283032,0.495075166,0.744662321,92.958127213,105.8,45.8,105.996179199,30.132230759
Yasuhikotakia_modesta_P_17,1,2,11153,5576.5,52.787769784,738.898040771,147.848838806,45.676515579,168.187957764,0.170845665,0.575727209,226.272735596,62.5,0.0,161.648521423,66.147968292
Yasuhikotakia_modesta_P_17,2,2,15158,7579.0,71.743657705,600.208145142,193.823368073,36.204961777,176.292778015,0.159981068,0.578255504,219.642044067,0.0,25.5,167.592666626,50.41885376
Yasuhikotakia_modesta_P_18,1,3,7247,2415.666666667,28.352895149,458.710673014,115.408960978,28.673901558,112.084866206,0.144561715,0.452346653,181.015777588,43.666666667,41.0,115.943901062,56.654055913
Yasuhikotakia_modesta_P_19,1,4,6431,1607.75,28.278075807,324.351032257,101.508131027,19.008436203,90.070906997,0.247532032,0.626178034,141.230135441,96.5,48.5,94.196678162,35.286108375
Yasuhikotakia_modesta_P_20,1,4,6242,1560.5,28.21880651,327.876155853,107.86309433,18.924406052,86.601056993,0.183816427,0.610694751,142.545654297,58.75,45.25,87.770992398,35.500774384
Yasuhikotakia_modesta_P_21,1,4,7679,1919.75,28.535860275,301.179462433,99.235745192,21.226722717,89.962284684,0.2933529,0.714091644,130.403461456,105.0,46.25,92.140934229,35.826920271
Yasuhikotakia_modesta_P_22,1,4,6435,1608.75,28.433191941,307.851024628,93.915231705,19.007813811,87.38344872,0.182250943,0.561354727,132.439199448,80.75,40.5,87.036390305,35.964234352
Yasuhikotakia_modesta_P_23,1,4,5393,1348.25,25.898002305,318.608383179,97.482095718,17.884140253,87.693736076,0.156241972,0.530667916,137.586343765,65.75,47.0,88.759886026,35.072149277
Yasuhikotakia_modesta_P_24,1,1,15551,15551.0,62.498995258,1405.470092773,254.176315308,77.899261475,1.491648197,0.098929301,0.624989927,298.939788818,0.0,0.0,163.080459595,87.0
Yasuhikotakia_modesta_P_24,2,2,15682,7841.0,63.025480267,590.480224609,174.354276657,39.529962063,171.62387085,0.288379319,0.796183795,176.988069534,0.0,32.0,159.18901825,54.211901665
Yasuhikotakia_modesta_P_25,1,3,16780,5593.333333333,57.074829932,463.75638326,97.601106644,53.424228191,111.702765783,0.351099024,0.738448451,158.719017029,139.333333333,32.666666667,112.45638148,64.331160545
Yasuhikotakia_modesta_P_25,2,3,20917,6972.333333333,71.146258503,491.62812678,98.578322093,37.73166879,60.7586964,0.613115812,0.824429293,114.574671427,174.0,44.333333333,117.377229055,38.323520978
Yasuhikotakia_modesta_P_26,1,1,19490,19490.0,84.990406419,1213.404052734,291.188873291,85.221107483,0.310511678,0.166345388,0.84990406,285.630889893,0.0,0.0,162.897277832,84.0
Yasuhikotakia_modesta_P_26,2,1,9629,9629.0,41.989359847,1364.416259766,222.027145386,55.218578339,179.191268921,0.064997591,0.419893593,285.630889893,0.0,0.0,162.897277832,84.0
Yasuhikotakia_modesta_P_27,1,3,16125,5375.0,70.05995829,443.056208928,110.13399601,40.074946245,165.167689006,0.467291921,0.726889769,153.817565123,114.333333333,17.333333333,156.761037191,51.992090861
Yasuhikotakia_modesta_P_27,2,2,13643,6821.5,59.276155718,695.350296021,198.627433777,38.098828793,174.696838379,0.131213635,0.648244351,248.370765686,0.0,31.0,168.47353363,52.994587898
Yasuhikotakia_modesta_P_28,1,2,19829,9914.5,70.515647226,715.663986206,185.305957794,61.738279343,165.464797974,0.231565237,0.679623961,247.594512939,64.5,0.0,158.585250854,83.089557648
Yasuhikotakia_modesta_P_28,2,2,16432,8216.0,58.435277383,728.358886719,175.656078339,46.538452148,169.610359192,0.170610487,0.546926662,214.027492523,0.0,20.5,157.383224487,71.736833572
