Name, ,ClusterID_Particle#,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Area (px)
Botia_lohachata_C_10,1,1_1,104.104712911,47.184201792,104.104712911,47.184201792,1171.269119346,231.157173808,66.383762789,172.112036499,0.110396575,332.284516642,0,0,166.423785752,78.0,3.482134246,0.287180197,0.612305035,12052
Botia_lohachata_C_10,2,1_2,278.548480084,22.599580713,278.548480084,22.599580713,577.788888605,97.280060206,49.945303204,168.736784718,0.143641476,168.240898714,167,0,158.008870083,63.0,1.947731898,0.513417684,0.528312336,3816
Botia_lohachata_C_10,3,1_3,178.543062201,34.543062201,178.543062201,34.543062201,66.183766184,28.561257158,9.31706414,18.918488398,0.599588364,27.856776554,165,40,21.037511025,10.49975301,3.065478216,0.326213377,0.876310273,209
Botia_lohachata_C_10,4,1_4,239.365030675,38.843558282,239.365030675,38.843558282,51.69848481,21.165762411,9.805365938,0.25430552,0.766375899,21.213203436,229,37,171.869897646,10.0,2.15858975,0.463265426,0.903047091,163
Botia_lohachata_C_10,5,2_1,175.185286012,29.981414264,175.185286012,29.981414264,1478.867099092,296.783075139,63.82434274,177.961995891,0.085480476,332.284516642,0,0,166.423785752,78.0,4.649998142,0.215053849,0.590497738,14877
Botia_lohachata_C_10,6,2_2,31.078947368,55.850877193,31.078947368,55.850877193,38.627416998,14.419163839,10.066416453,12.229227144,0.960115275,15.231546212,24,58,23.198590514,10.0,1.432402872,0.698127614,0.94214876,114
Botia_lohachata_C_10,7,3_1,162.449125469,38.881558981,162.449125469,38.881558981,836.426406871,362.283683575,88.009662386,179.86893295,0.449804094,332.284516642,0,0,166.423785752,78.0,4.11640806,0.242930241,0.993966817,25042
Botia_lohachata_C_11,1,1_1,55.002170767,9.670767004,55.002170767,9.670767004,400.610173055,119.259038425,22.131870348,3.065242605,0.162317453,142.337626789,0,48,19.707978843,47.453842755,5.388565745,0.185578138,0.437065149,2073
Botia_lohachata_C_11,2,1_2,217.652402981,17.83924441,217.652402981,17.83924441,605.931024229,131.841363563,37.576788761,175.002813259,0.133175617,153.792067416,131,6,159.44395478,59.120490714,3.508585164,0.285015171,0.610257215,3891
Botia_lohachata_C_11,3,1_3,89.254237288,30.122881356,89.254237288,30.122881356,144.066017178,46.536839134,19.370752601,20.304257473,0.428666971,52.554733374,64,44,21.194056482,27.083901213,2.402428036,0.416245559,0.697193501,708
Botia_lohachata_C_11,4,1_4,61.104651163,24.104651163,61.104651163,24.104651163,34.627416998,13.502827305,8.109309138,45.000748794,0.901297407,14.212670404,56,29,39.289406863,8.485281374,1.665102054,0.60056379,0.924731183,86
Botia_lohachata_C_11,5,1_5,37.800458716,33.802752294,37.800458716,33.802752294,104.811183182,26.998114952,20.561896358,56.932895706,0.49874793,32.756678708,27,49,58.736268306,22.710810177,1.31301678,0.76160489,0.797074954,436
Botia_lohachata_C_11,6,1_6,15.743697479,28.693277311,15.743697479,28.693277311,42.526911935,15.783112049,9.59984985,138.981731863,0.826854567,16.124515497,12,22,119.744881297,10.606601718,1.644099887,0.608235551,0.875,119
Botia_lohachata_C_11,7,1_7,134.22519084,34.965648855,134.22519084,34.965648855,45.455844123,17.571345725,9.492407865,4.643459382,0.796712637,17.720045147,126,37,16.389540334,9.950371902,1.851094683,0.540220881,0.894197952,131
Botia_lohachata_C_11,8,1_8,163.139344262,34.090163934,163.139344262,34.090163934,27.798989873,10.034981457,7.739686672,170.064046159,0.991931469,10.770329614,158,32,158.198590514,8.0,1.296561719,0.77127065,0.903703704,61
Botia_lohachata_C_11,9,1_9,184.912371134,40.37628866,184.912371134,40.37628866,36.04163056,12.391895169,9.966533299,5.376873913,0.938367023,13.0,179,38,157.380135052,10.751744045,1.243350601,0.804278374,0.898148148,97
Botia_lohachata_C_11,10,1_10,236.982,53.168,236.982,53.168,121.39696962,40.342324713,15.780443415,139.394234735,0.426347948,47.16990566,217,37,147.994616792,21.72100935,2.556475991,0.391163462,0.692520776,500
Botia_lohachata_C_11,11,1_11,132.501231148,63.540935673,132.501231148,63.540935673,698.048773235,220.435670121,18.766269899,0.813107768,0.083789199,275.878596488,0,50,175.42607874,25.0,11.746376414,0.085132637,0.517768924,3249
Botia_lohachata_C_11,12,1_12,99.790697674,55.88372093,99.790697674,55.88372093,48.284271247,16.308004335,13.428816745,166.683896989,0.927100785,17.88854382,91,53,153.434948823,14.0,1.21440367,0.823449422,0.9373297,172
Botia_lohachata_C_11,13,2_1,133.918009145,33.872775237,133.918009145,33.872775237,966.693434176,269.621336637,67.127848093,1.342486331,0.191152151,284.269238575,0,0,165.328249204,72.0,4.016534781,0.24897083,0.717929293,14215
Botia_lohachata_C_12,1,1_1,134.97868326,37.283540747,134.97868326,37.283540747,1509.168614282,256.819264745,61.748477263,2.061278766,0.068719195,303.898009207,0,0,166.100936907,73.0,4.159118996,0.240435535,0.578360808,12455
Botia_lohachata_C_12,2,1_2,218.914893617,35.936170213,218.914893617,35.936170213,34.627416998,11.824132151,10.122055105,5.208332779,0.985139026,12.649110641,213,38,18.434948823,10.0,1.168155284,0.856050573,0.930693069,94
Botia_lohachata_C_12,3,2_1,164.607064096,29.665682578,164.607064096,29.665682578,1519.276262021,275.449859914,64.977082529,174.861791885,0.076529523,303.898009207,0,0,166.100936907,73.0,4.239184789,0.235894411,0.741402954,14057
Botia_lohachata_C_12,4,2_2,36.563157895,68.071428571,36.563157895,68.071428571,298.04163056,71.182012327,11.89491937,174.141977705,0.094075741,122.065556157,0,35,161.861917844,36.48008819,5.98423664,0.167105691,0.291602719,665
Botia_lohachata_C_13,1,1_1,172.921532477,43.432857895,172.921532477,43.432857895,1691.778787338,351.848780004,89.306203432,0.238102333,0.108355328,367.695526217,0,0,165.510237406,92.0,3.939802236,0.253819847,0.753511236,24679
Botia_lohachata_C_13,2,1_2,115.840277778,79.951388889,115.840277778,79.951388889,43.69848481,14.576210001,12.578475092,157.455250985,0.947631741,15.524174696,108,79,165.068582822,13.0,1.158821709,0.862945518,0.923076923,144
Botia_lohachata_C_13,3,1_3,237.039473684,80.881578947,237.039473684,80.881578947,31.556349186,11.159516479,8.671182625,93.69082057,0.959069213,11.704699911,236,75,109.983106522,8.0,1.286965915,0.777021356,0.938271605,76
Botia_lohachata_C_13,4,2_1,185.914798481,46.36103965,185.914798481,46.36103965,893.656854249,347.457733108,89.738578941,0.778568911,0.385335777,367.695526217,0,0,165.510237406,92.0,3.871888069,0.258271929,0.747710064,24489
Botia_lohachata_C_13,5,2_2,170.898305085,20.75,170.898305085,20.75,94.183766184,41.98978492,7.15613412,12.515702046,0.334325699,42.449970554,150,25,15.018360631,9.943205053,5.867663213,0.170425596,0.715151515,236
Botia_lohachata_C_13,6,3_1,179.2556435,43.454973145,179.2556435,43.454973145,1208.249783362,342.511010963,92.053189057,178.882594076,0.213157035,367.695526217,0,0,165.510237406,92.0,3.720794624,0.268759795,0.756075965,24763
Botia_lohachata_C_13,7,3_2,190.735781991,47.562796209,190.735781991,47.562796209,210.852813742,88.539536111,12.137110978,177.683530522,0.238557738,89.805345053,148,46,172.321036193,16.775977902,7.294943275,0.137081258,0.612926652,844
Botia_lohachata_C_13,8,3_3,245.365671642,48.26119403,245.365671642,48.26119403,30.142135624,11.689794113,7.297566464,175.999636513,0.92669459,12.083045974,240,45,155.55604522,7.0,1.601875662,0.624268177,0.943661972,67
Botia_lohachata_C_14,1,1_1,32.125141563,6.250849377,32.125141563,6.250849377,219.355339059,79.321386862,14.173611462,5.756213732,0.230607883,92.655275079,0,29,18.239400847,27.914837458,5.596413241,0.178685876,0.66117559,883
Botia_lohachata_C_14,2,1_2,163.605504587,7.728211009,163.605504587,7.728211009,233.254833996,69.344930471,16.010757751,169.51391869,0.201402586,99.929975483,95,0,161.927677851,29.836475722,4.331146068,0.230885771,0.568078176,872
Botia_lohachata_C_14,3,1_3,19.800653595,42.983660131,19.800653595,42.983660131,142.970562748,46.084776591,4.227114999,176.290214262,0.094060664,65.76473219,0,35,171.253837737,10.0,10.902181891,0.091724758,0.422651934,153
Botia_lohachata_C_14,4,1_4,176.992647059,42.625,176.992647059,42.625,88.727922061,32.554360328,5.31912089,5.770072407,0.217084168,38.327535793,153,45,15.124007308,9.943960626,6.120252012,0.163391965,0.653846154,136
Botia_lohachata_C_4,1,1_1,62.179420704,28.236813874,62.179420704,28.236813874,723.546247918,113.869800452,62.538344192,12.633122574,0.13425241,158.319297624,0,77,27.050597007,77.0,1.820799734,0.549209219,0.594462454,5593
Botia_lohachata_C_4,2,1_2,211.9057454,34.4344724,211.9057454,34.4344724,1032.482322781,122.652381765,55.288562013,9.344883537,0.062783537,177.34147851,123,65,21.501434324,77.0,2.218404265,0.450774467,0.436628956,5326
Botia_lohachata_C_4,3,1_3,197.81871345,28.571637427,197.81871345,28.571637427,157.580735804,36.573385465,23.812284193,36.611845948,0.346146319,45.541190147,179,36,8.84181456,30.566938202,1.535904123,0.651082307,0.622100955,684
Botia_lohachata_C_4,4,1_4,38.43495935,45.213414634,38.43495935,45.213414634,97.74011537,28.057249479,22.326987414,97.653287516,0.647186236,32.893768407,28,59,70.463345062,26.282263545,1.256651825,0.795765366,0.843910806,492
Botia_lohachata_C_4,5,1_5,229.682119205,52.354304636,229.682119205,52.354304636,159.923881554,37.545083233,20.483019847,54.908388001,0.296770111,46.861498055,215,70,50.194428908,27.727242921,1.832985737,0.545557982,0.675993285,604
Botia_lohachata_C_4,6,1_6,260.441176471,58.147058824,260.441176471,58.147058824,39.455844123,15.877489112,8.179532207,148.438066021,0.823355437,16.643316977,253,55,147.264773728,9.17857036,1.941124347,0.515165348,0.890829694,102
Botia_lohachata_C_4,7,2_1,144.899950332,38.256565468,144.899950332,38.256565468,727.656854249,282.206955888,72.670318428,0.539909614,0.38227093,298.115749332,0,0,165.031442088,77.0,3.883386808,0.257507184,0.726325758,16107
Botia_lohachata_C_4,8,3_1,148.4696003,37.393272659,148.4696003,37.393272659,934.024386618,318.336992226,85.256739865,178.86348327,0.30704296,298.115749332,0,0,165.031442088,77.0,3.733863067,0.267819141,0.961219336,21316
Botia_lohachata_C_5,1,1_1,107.778903275,28.678522468,107.778903275,28.678522468,1096.818325857,185.273221697,45.116167002,0.686024534,0.068576481,239.870798556,0,0,166.253419279,57.0,4.106581609,0.243511537,0.494315187,6565
Botia_lohachata_C_5,2,1_2,128.321256039,28.292270531,128.321256039,28.292270531,55.455844123,17.885292535,14.736162981,13.994614276,0.845834838,20.0,120,35,36.869897646,14.955817283,1.213700782,0.823926304,0.915929204,207
Botia_lohachata_C_5,3,1_3,102.664556962,31.183544304,102.664556962,31.183544304,50.870057685,17.943887585,11.211162972,39.677923583,0.767259882,19.849433241,95,38,40.91438322,12.757485044,1.600537574,0.624790081,0.890140845,158
Botia_lohachata_C_5,4,1_4,151.994845361,34.469072165,151.994845361,34.469072165,63.941125497,21.604940541,11.432962345,120.473743314,0.596281096,24.839484697,146,24,130.100907546,14.760133416,1.889706262,0.529182773,0.8,194
Botia_lohachata_C_5,5,1_5,179.264705882,37.352941176,179.264705882,37.352941176,21.556349186,8.375930913,5.168397993,61.987331422,0.919471688,8.94427191,177,41,63.434948823,6.0,1.620604861,0.617053561,0.871794872,34
Botia_lohachata_C_5,6,2_1,116.998825692,23.680639232,116.998825692,23.680639232,1035.889393669,232.064999314,53.729924368,0.44834175,0.114682947,239.870798556,0,57,13.746580721,57.0,4.319101544,0.231529634,0.758236228,9793
Botia_lohachata_C_5,7,2_2,219.8,54.963636364,219.8,54.963636364,96.142135624,33.441359818,4.188117669,5.301320734,0.149546075,43.737855457,190,57,10.539183729,8.0,7.98481859,0.125237661,0.558375635,110
Botia_lohachata_C_5,8,3_1,118.269738356,28.107227806,118.269738356,28.107227806,577.656854249,260.301655173,63.749617633,179.507898138,0.490811124,239.870798556,0,0,166.253419279,57.0,4.083187709,0.244906693,0.981326707,13033
Botia_lohachata_C_5,9,4_1,118.233578038,28.198095894,118.233578038,28.198095894,588.627416998,259.663626658,64.122009466,179.528078198,0.474282406,239.870798556,0,0,166.253419279,57.0,4.049524162,0.246942594,0.990606772,13077
Botia_lohachata_C_5,10,4_2,2.209677419,53.85483871,2.209677419,53.85483871,25.313708499,8.7218025,4.525489529,117.006602178,0.607939005,10.816653826,0,48,123.690067526,6.0,1.927261668,0.518870902,0.849315068,31
Botia_lohachata_C_6,1,1_1,44.880748358,33.234647244,44.880748358,33.234647244,681.338095117,74.550396446,59.793265477,0.300048567,0.094771255,169.522859815,0,0,154.493061911,73.0,1.24680256,0.80205161,0.330501274,3501
Botia_lohachata_C_6,2,1_2,240.756885328,14.42438658,240.756885328,14.42438658,326.953318806,88.286319522,28.800151423,163.991888698,0.234755853,137.786066059,145,0,158.275808499,47.821020679,3.065481088,0.326213071,0.595586042,1997
Botia_lohachata_C_6,3,1_3,128.706422018,15.752293578,128.706422018,15.752293578,65.69848481,27.186578484,10.209678313,96.331018864,0.634681224,26.248809497,124,3,107.744671625,11.35829912,2.6628242,0.375541127,0.835249042,218
Botia_lohachata_C_6,4,1_4,158.369436202,17.948071217,158.369436202,17.948071217,84.568542495,23.465340311,18.285766193,158.533789788,0.592136829,28.425340807,153,5,129.289406863,22.471927625,1.283257155,0.779267036,0.800475059,337
Botia_lohachata_C_6,5,1_5,195.929429429,22.094594595,195.929429429,22.094594595,89.74011537,26.965143979,15.723586298,160.729835291,0.519614008,32.388269481,181,23,171.119340849,20.025961146,1.714948706,0.583107819,0.747474747,333
Botia_lohachata_C_6,6,1_6,95.810559006,22.622153209,95.810559006,22.622153209,108.367532368,38.34910105,16.036222057,10.781621943,0.516842985,41.0,76,32,12.680383492,21.058047438,2.391404965,0.418164223,0.758241758,483
Botia_lohachata_C_6,7,1_7,187.147058824,37.647058824,187.147058824,37.647058824,30.384776311,10.694599252,8.095702046,167.129013279,0.925564502,11.704699911,182,34,160.016893478,8.0,1.321021845,0.756989753,0.912751678,68
Botia_lohachata_C_6,8,1_8,235.847507331,68.796187683,235.847507331,68.796187683,254.870057685,93.134719098,9.323583921,3.823127635,0.131933962,114.756263446,160,73,10.036902454,19.885532562,9.989154373,0.100108574,0.570234114,682
Botia_lohachata_C_6,9,2_1,135.999621417,37.70048675,135.999621417,37.70048675,689.656854249,299.04477599,78.724662901,179.937969566,0.488518102,282.591578077,0,0,165.029401762,73.0,3.798616151,0.263253764,0.927793668,18490
Botia_lohachata_C_6,10,3_1,137.390590257,36.411865777,137.390590257,36.411865777,689.656854249,305.894415227,82.364576982,179.892332152,0.522812126,282.591578077,0,0,165.029401762,73.0,3.71390744,0.269258191,0.992924883,19788
Botia_lohachata_C_6,11,4_1,137.633775371,36.377562383,137.633775371,36.377562383,741.012193309,305.223971719,82.416179645,179.838324251,0.452147522,282.591578077,0,0,165.029401762,73.0,3.703447224,0.270018699,0.991369361,19757
Botia_lohachata_C_7,1,1_1,69.278489703,17.891304348,69.278489703,17.891304348,698.073159853,141.31912327,39.372285093,0.619333316,0.112691049,161.77144371,0,39,13.950342813,44.0,3.589304582,0.278605501,0.687052905,4370
Botia_lohachata_C_7,2,1_2,261.531840374,31.4772872,261.531840374,31.4772872,941.203102168,114.374250747,52.443897609,170.315971724,0.066827662,175.37673734,158,74,24.957683255,74.0,2.180887691,0.458528884,0.392648775,4711
Botia_lohachata_C_7,3,1_3,161.848837209,14.120155039,161.848837209,14.120155039,49.556349186,20.807609943,7.893645725,89.015153572,0.660086674,19.924858845,159,23,72.474431626,9.0,2.635994909,0.379363403,0.889655172,129
Botia_lohachata_C_7,4,1_4,197.113333333,14.02,197.113333333,14.02,35.213203436,14.545227904,6.5652437,124.004957023,0.760081314,15.0,193,8,126.869897646,7.211102551,2.215489412,0.451367537,0.882352941,75
Botia_lohachata_C_7,5,1_5,224.096774194,15.451612903,224.096774194,15.451612903,29.798989873,10.923283673,7.226842599,83.87691253,0.877401694,11.704699911,222,21,70.016893478,8.0,1.511487696,0.661599828,0.879432624,62
Botia_lohachata_C_7,6,1_6,234.021091811,25.949131514,234.021091811,25.949131514,95.497474683,32.096487168,15.986657164,43.478032574,0.555304427,34.409301068,220,38,54.462322208,21.591824762,2.007704728,0.49808121,0.781007752,403
Botia_lohachata_C_7,7,1_7,89.118181818,24.663636364,89.118181818,24.663636364,26.384776311,8.925334255,7.846000269,55.436019862,0.992809034,9.848857802,87,29,66.037511025,8.0,1.137564867,0.879070749,0.909090909,55
Botia_lohachata_C_7,8,1_8,226.797551789,61.857815443,226.797551789,61.857815443,112.325901808,39.195025832,17.249387745,168.878609285,0.528864672,42.544094772,205,55,156.447736327,20.0,2.27225606,0.440091246,0.845541401,531
Botia_lohachata_C_7,9,1_9,11.729050279,70.254189944,11.729050279,70.254189944,107.213203436,29.614866226,7.695792943,168.034920202,0.195688971,44.384682042,0,57,157.479434397,16.155494421,3.848189062,0.259862492,0.474801061,179
Botia_lohachata_C_7,10,2_1,151.803776683,37.08407225,151.803776683,37.08407225,939.43860018,312.021233844,74.552895634,1.534217306,0.26014268,325.522656662,0,0,166.860264114,74.0,4.18523293,0.238935327,0.778838776,18270
Botia_lohachata_C_8,1,1_1,138.409457731,37.566135223,138.409457731,37.566135223,1571.695526217,218.548631733,59.196833727,1.409552559,0.051690351,299.046819077,0,0,165.870819421,73.0,3.691897319,0.270863438,0.479971658,10161
Botia_lohachata_C_8,2,1_2,158.139705882,43.948529412,158.139705882,43.948529412,48.870057685,19.467148461,8.895015027,109.776081827,0.715588033,18.973665961,155,35,108.434948823,9.91054883,2.188545877,0.456924395,0.85,136
Botia_lohachata_C_8,3,1_3,226.668674699,46.813253012,226.668674699,46.813253012,37.213203436,14.675439354,7.2010711,71.829946387,0.753171438,15.231546212,225,54,66.801409486,8.104273273,2.037952292,0.490688621,0.878306878,83
Botia_lohachata_C_8,4,1_4,141.182539683,46.801587302,141.182539683,46.801587302,28.384776311,9.875993033,8.122129193,99.258510673,0.982606112,10.770329614,139,42,111.801409486,8.0,1.215936462,0.822411394,0.919708029,63
Botia_lohachata_C_8,5,1_5,241.277777778,45.444444444,241.277777778,45.444444444,21.556349186,5.4564608,4.200215606,106.4711159,0.486779129,6.708203932,241,42,116.565051177,5.813776741,1.299090645,0.769769226,0.620689655,18
Botia_lohachata_C_8,6,2_1,146.06100051,32.95941807,146.06100051,32.95941807,1651.050865276,299.621474027,74.922822158,179.871208574,0.08127667,299.046819077,0,0,165.870819421,73.0,3.99906818,0.250058252,0.832829476,17631
Botia_lohachata_C_8,7,2_2,275.9,48.7,275.9,48.7,11.313708499,4.734709399,1.344580456,49.213484511,0.490873852,5.656854249,274,51,45.0,2.121320344,3.521328439,0.283983734,0.555555556,5
Botia_lohachata_C_8,8,3_1,147.258196106,34.890560088,147.258196106,34.890560088,995.580735804,323.23470367,78.698396476,179.754688017,0.253297347,299.046819077,0,0,165.870819421,73.0,4.107259082,0.243471371,0.943741143,19979
Botia_lohachata_P_1,1,1_1,57.101051123,36.238493391,57.101051123,36.238493391,577.521861301,114.367937732,69.903080006,173.652551132,0.236572081,159.213692878,0,0,153.917766997,70.0,1.636092969,0.61121221,0.689015692,6279
Botia_lohachata_P_1,2,1_2,234.502906977,30.775268336,234.502906977,30.775268336,648.350288425,90.40781963,62.980473009,165.10041849,0.133687943,161.012421881,130,0,154.230672376,70.0,1.435489689,0.69662639,0.502020656,4472
Botia_lohachata_P_1,3,1_3,150.009830508,32.500677966,150.009830508,32.500677966,281.948268172,49.611321797,37.854833543,145.460826001,0.233164818,60.440052945,121,27,163.66395711,48.916355208,1.310567691,0.763028119,0.668782589,1475
Botia_lohachata_P_1,4,1_4,59.805084746,22.262711864,59.805084746,22.262711864,27.556349186,9.903420797,7.585372235,56.668977587,0.976379195,10.816653826,57,27,56.309932474,8.0,1.305594569,0.765934558,0.929133858,59
Botia_lohachata_P_1,5,2_1,139.722943967,36.007117036,139.722943967,36.007117036,687.656854249,297.234932456,75.837091939,0.014265852,0.470476258,283.769272473,0,0,165.718904264,70.0,3.919387266,0.255141922,0.919688312,17704
Botia_lohachata_P_1,6,3_1,142.293591375,30.449689301,142.293591375,30.449689301,1205.830519166,251.327575918,67.66730844,178.496462095,0.115437323,283.769272473,0,0,165.718904264,70.0,3.714165403,0.26923949,0.69387013,13357
Botia_lohachata_P_1,7,3_2,249.410714286,37.803571429,249.410714286,37.803571429,27.798989873,10.450950562,6.822481274,129.756397006,0.910625611,11.401754251,246,33,127.874983651,7.778174593,1.531840124,0.65280964,0.875,56
Botia_lohachata_P_1,8,3_3,13.907894737,49.078947368,13.907894737,49.078947368,31.798989873,11.948660405,8.098498252,83.478904056,0.94448879,12.649110641,12,55,71.565051177,8.0,1.475416804,0.677774577,0.926829268,76
Botia_lohachata_P_10,1,1_1,175.770100447,48.487919819,175.770100447,48.487919819,1508.641702348,332.276794544,86.596298459,0.844601205,0.124774796,348.30015791,0,0,165.36528478,88.0,3.837078495,0.260614945,0.762038036,22599
Botia_lohachata_P_10,2,1_2,80.492957746,38.316901408,80.492957746,38.316901408,48.04163056,17.23017673,10.493218856,172.635994602,0.773148166,17.720045147,73,33,163.610459666,11.692694348,1.642029673,0.609002393,0.865853659,142
Botia_lohachata_P_10,3,2_1,167.327662659,20.83222478,167.327662659,20.83222478,1179.997041407,332.104485622,44.959585876,0.499293305,0.105836374,343.595692639,0,0,168.755473639,66.990413913,7.386733644,0.135377834,0.573868363,11727
Botia_lohachata_P_10,4,2_2,276.593023256,44.337209302,276.593023256,44.337209302,46.04163056,17.910988799,9.170230807,10.724001629,0.764712489,18.027756377,268,48,19.440034828,10.0,1.95316663,0.511989087,0.895833333,129
Botia_lohachata_P_10,5,2_3,240.8307393,52.908560311,240.8307393,52.908560311,69.69848481,27.709325519,11.809113245,173.76644415,0.664808117,28.160255681,228,47,163.495638618,13.548428034,2.346435752,0.4261783,0.865319865,257
Botia_lohachata_P_10,6,2_4,268.878640777,59.694174757,268.878640777,59.694174757,36.627416998,12.90567855,10.161703052,79.434134229,0.964793798,13.601470509,266,66,72.897271031,10.0,1.270031065,0.787382315,0.923766816,103
Botia_lohachata_P_10,7,2_5,52.459109731,79.717908903,52.459109731,79.717908903,363.497474683,134.49064774,18.290482214,174.93418009,0.183744433,162.388423233,0,55,168.274887985,32.541821401,7.353040022,0.135998172,0.710555351,1932
